,Alcaldias,Precio,Área,Dormitorios,Baños
0,azcapotzalco,1754689,49,2,1
1,azcapotzalco,1762454,43,2,1
2,azcapotzalco,2493000,71,2,1
3,azcapotzalco,1664000,48,2,1
4,azcapotzalco,2417000,65,2,2
5,azcapotzalco,2458625,52,2,1
6,azcapotzalco,2417000,65,2,2
7,azcapotzalco,4374600,71,3,2
8,azcapotzalco,1664000,48,2,1
9,azcapotzalco,1200000,47,2,1
10,azcapotzalco,2500000,66,2,2
11,azcapotzalco,2036736,53,2,1
12,azcapotzalco,2755287,65,3,2
13,azcapotzalco,2457121,54,2,2
14,azcapotzalco,2889619,54,2,1
15,azcapotzalco,2470000,68,2,2
16,azcapotzalco,4324740,65,3,2
17,azcapotzalco,2425922,56,2,2
18,azcapotzalco,2590000,67,3,2
19,azcapotzalco,2036000,53,2,1
20,azcapotzalco,1801000,49,2,1
21,azcapotzalco,2250000,65,2,2
22,azcapotzalco,307000,60,2,1
23,azcapotzalco,2112384,70,2,1
24,azcapotzalco,1308291,70,2,1
25,azcapotzalco,1800000,58,2,1
26,azcapotzalco,1770000,49,2,1
27,azcapotzalco,4700000,145,3,2
28,azcapotzalco,4700000,145,3,2
29,coyoacan,5192000,83,2,2
30,coyoacan,2292000,73,2,1
31,coyoacan,2292000,73,2,1
32,coyoacan,762500,214,3,3
33,coyoacan,4480000,110,3,2
34,coyoacan,2150000,69,2,1
35,coyoacan,4500000,117,3,2
36,coyoacan,6000000,187,3,3
37,coyoacan,2600000,64,2,1
38,coyoacan,4800000,70,1,1
39,coyoacan,3930000,66,2,1
40,coyoacan,2600000,69,2,1
41,coyoacan,6750000,138,3,2
42,coyoacan,3580000,69,2,1
43,coyoacan,3400000,69,2,1
44,coyoacan,4500000,93,3,2
45,coyoacan,33525700,428,3,3
46,coyoacan,11317500,193,3,2
47,coyoacan,31625000,650,3,5
48,coyoacan,12273000,166,2,2
49,coyoacan,3500000,92,2,2
50,coyoacan,11444700,198,3,2
51,coyoacan,11527400,198,3,2
52,coyoacan,11584300,198,3,2
53,coyoacan,12844100,249,3,2
54,coyoacan,7200000,119,3,2
55,coyoacan,7200000,119,3,2
56,coyoacan,6154000,113,3,2
57,coyoacan,11317500,193,3,3
58,cuajimalpa-de-morelos,6860749,105,2,2
59,cuajimalpa-de-morelos,3785891,54,1,2
60,cuajimalpa-de-morelos,2100000,58,2,1
61,cuajimalpa-de-morelos,5854199,77,2,2
62,cuajimalpa-de-morelos,2743800,64,1,1
63,cuajimalpa-de-morelos,2743800,64,1,1
64,cuajimalpa-de-morelos,17900000,305,3,3
65,cuajimalpa-de-morelos,13000000,260,3,2
66,cuajimalpa-de-morelos,7100000,148,2,2
67,cuajimalpa-de-morelos,7200000,145,2,1
68,cuajimalpa-de-morelos,5500000,96,1,2
69,cuajimalpa-de-morelos,7100000,97,2,3
70,cuajimalpa-de-morelos,16000000,410,3,3
71,cuajimalpa-de-morelos,18000000,240,3,3
72,cuajimalpa-de-morelos,17000000,400,3,2
73,cuajimalpa-de-morelos,15000000,310,2,3
74,cuajimalpa-de-morelos,8960000,215,3,4
75,cuajimalpa-de-morelos,57525000,504,3,3
76,cuajimalpa-de-morelos,13200000,315,3,1
77,cuajimalpa-de-morelos,15000,40,1,2
78,cuajimalpa-de-morelos,2217000,85,2,3
79,cuajimalpa-de-morelos,12200000,256,3,3
80,cuajimalpa-de-morelos,14000000,300,3,2
81,cuajimalpa-de-morelos,11000000,255,2,3
82,cuajimalpa-de-morelos,21500000,320,3,2
83,cuajimalpa-de-morelos,7000000,130,2,2
84,cuajimalpa-de-morelos,6450000,130,2,3
85,cuajimalpa-de-morelos,11500000,303,3,2
86,cuajimalpa-de-morelos,6800000,130,2,2
87,gustavo-a-madero,3485336,74,1,1
88,gustavo-a-madero,2850434,60,1,1
89,gustavo-a-madero,1600000,62,1,1
90,gustavo-a-madero,1680000,72,3,1
91,gustavo-a-madero,1680000,72,3,1
92,gustavo-a-madero,2061046,50,2,1
93,gustavo-a-madero,2611598,58,2,1
94,gustavo-a-madero,4020339,56,2,1
95,gustavo-a-madero,1600000,62,1,1
96,gustavo-a-madero,3827840,72,3,2
97,gustavo-a-madero,3541746,59,2,1
98,gustavo-a-madero,3787503,56,2,1
99,gustavo-a-madero,2350000,72,2,2
100,gustavo-a-madero,4281066,89,3,2
101,gustavo-a-madero,3764380,79,2,2
102,gustavo-a-madero,3180116,71,3,2
103,gustavo-a-madero,1899000,83,3,1
104,gustavo-a-madero,2000000,42,1,1
105,gustavo-a-madero,1906531,56,2,1
106,gustavo-a-madero,1763057,50,2,1
107,gustavo-a-madero,1730000,48,2,1
108,gustavo-a-madero,1295000,60,2,1
109,gustavo-a-madero,2395900,70,2,1
110,gustavo-a-madero,2121988,70,2,1
111,gustavo-a-madero,2489873,55,2,1
112,gustavo-a-madero,1280000,65,2,1
113,gustavo-a-madero,2200000,70,2,1
114,gustavo-a-madero,1650000,86,3,1
115,gustavo-a-madero,1400000,59,3,1
116,iztacalco,2162000,56,2,1
117,iztacalco,2005120,47,2,1
118,iztacalco,2181041,56,2,1
119,iztacalco,2181041,56,2,1
120,iztacalco,2187039,48,1,1
121,iztacalco,2782969,84,2,2
122,iztacalco,2782969,84,2,2
123,iztacalco,3217928,48,2,1
124,iztacalco,1900000,59,2,1
125,iztacalco,2365000,57,2,1
126,iztacalco,2950000,72,2,2
127,iztacalco,2365000,57,2,1
128,iztacalco,2520000,64,2,2
129,iztacalco,2520000,64,2,2
130,iztacalco,2080000,53,1,1
131,iztacalco,1900000,59,2,1
132,iztacalco,2520000,64,2,2
133,iztacalco,3172925,65,3,2
134,iztacalco,2681109,71,2,1
135,iztacalco,1803281,47,2,1
136,iztacalco,2438803,52,2,1
137,iztacalco,784011,70,2,1
138,iztacalco,771323,70,2,1
139,iztacalco,2707458,70,2,1
140,iztacalco,2400000,120,2,1
141,iztacalco,2400000,60,2,2
142,iztacalco,2000000,59,2,2
143,iztacalco,1250000,45,2,1
144,iztacalco,2680000,93,2,1
145,iztapalapa,950000,58,2,1
146,iztapalapa,1849633,69,3,1
147,iztapalapa,950000,58,2,1
148,iztapalapa,1849633,69,3,1
149,iztapalapa,4505000,90,2,2
150,iztapalapa,486005,45,2,1
151,iztapalapa,1250000,65,2,1
152,iztapalapa,4100000,71,2,2
153,iztapalapa,4100000,71,2,2
154,iztapalapa,584192,70,3,2
155,iztapalapa,567400,57,2,1
156,iztapalapa,1863000,60,3,1
157,iztapalapa,2000000,82,3,1
158,iztapalapa,9300000,400,4,3
159,iztapalapa,2100000,65,2,2
160,iztapalapa,1000000,61,2,1
161,iztapalapa,1993000,70,2,1
162,iztapalapa,780000,49,2,1
163,iztapalapa,2500000,64,1,1
164,iztapalapa,1550000,52,2,1
165,iztapalapa,1300000,45,1,1
166,iztapalapa,1000000,46,2,1
167,iztapalapa,1220000,65,2,1
168,iztapalapa,900000,40,2,1
169,iztapalapa,1000000,58,2,1
170,iztapalapa,2950000,70,2,2
171,iztapalapa,850000,65,2,1
172,iztapalapa,1100000,68,2,1
173,iztapalapa,644000,79,2,1
174,la-magdalena-contreras,9000000,244,3,2
175,la-magdalena-contreras,5500000,125,2,2
176,la-magdalena-contreras,12500000,193,3,3
177,la-magdalena-contreras,3350000,82,2,2
178,la-magdalena-contreras,13000000,437,4,5
179,la-magdalena-contreras,2500000,46,2,1
180,la-magdalena-contreras,2350000,97,2,1
181,la-magdalena-contreras,5232000,110,2,2
182,la-magdalena-contreras,15600000,435,3,3
183,la-magdalena-contreras,24500000,468,4,4
184,la-magdalena-contreras,8470000,221,3,3
185,la-magdalena-contreras,11000000,307,2,4
186,la-magdalena-contreras,6990000,233,3,2
187,la-magdalena-contreras,10650000,308,4,5
188,la-magdalena-contreras,4700000,152,3,2
189,la-magdalena-contreras,11950000,290,4,3
190,la-magdalena-contreras,6900000,300,3,3
191,la-magdalena-contreras,4290000,113,3,2
192,la-magdalena-contreras,7750000,260,4,3
193,la-magdalena-contreras,7520603,88,1,1
194,la-magdalena-contreras,5500000,250,4,3
195,la-magdalena-contreras,9500000,294,3,2
196,la-magdalena-contreras,11290000,341,3,3
197,la-magdalena-contreras,22000000,520,3,3
198,la-magdalena-contreras,15700000,283,3,3
199,la-magdalena-contreras,20750000,401,3,3
200,la-magdalena-contreras,3900000,112,2,2
201,la-magdalena-contreras,8900000,236,3,3
202,la-magdalena-contreras,8850000,360,3,3
203,milpa-alta,638825,55,2,1
204,milpa-alta,678295,45,2,1
205,milpa-alta,913000,60,2,1
206,milpa-alta,855000,60,2,1
207,milpa-alta,2379000,53,2,1
208,milpa-alta,637546,65,2,1
209,milpa-alta,850000,49,2,1
210,milpa-alta,1400000,66,2,1
211,milpa-alta,476000,60,2,1
212,milpa-alta,567467,97,2,1
213,milpa-alta,2231000,115,3,2
214,milpa-alta,645047,97,3,1
215,milpa-alta,1540000,75,2,1
216,milpa-alta,4500000,196,3,3
217,milpa-alta,820000,60,2,1
218,milpa-alta,4750000,180,4,2
219,milpa-alta,860000,48,2,1
220,milpa-alta,1030000,60,2,1
221,milpa-alta,551000,75,2,1
222,milpa-alta,799000,46,2,1
223,milpa-alta,490000,60,2,1
224,milpa-alta,8900000,400,4,4
225,milpa-alta,4700000,250,3,4
226,milpa-alta,575571,48,2,1
227,milpa-alta,576514,48,2,1
228,milpa-alta,563312,48,2,1
229,milpa-alta,576514,48,2,1
230,milpa-alta,561656,48,2,1
231,milpa-alta,653578,48,2,1
232,alvaro-obregon,5741648,76,2,2
233,alvaro-obregon,3079079,40,1,1
234,alvaro-obregon,3700000,69,2,2
235,alvaro-obregon,2847000,80,2,2
236,alvaro-obregon,3554000,91,2,2
237,alvaro-obregon,3638000,101,2,2
238,alvaro-obregon,3554000,91,1,1
239,alvaro-obregon,1938000,61,2,1
240,alvaro-obregon,2672400,65,2,2
241,alvaro-obregon,2847000,80,2,2
242,alvaro-obregon,3554000,91,2,2
243,alvaro-obregon,3554000,91,1,1
244,alvaro-obregon,3638000,101,2,2
245,alvaro-obregon,1938000,61,2,1
246,alvaro-obregon,2672400,65,2,2
247,alvaro-obregon,3735240,86,3,2
248,alvaro-obregon,18500000,328,3,3
249,alvaro-obregon,5600000,120,2,2
250,alvaro-obregon,5900000,127,2,2
251,alvaro-obregon,5290000,78,2,2
252,alvaro-obregon,1900000,64,3,1
253,alvaro-obregon,1900000,64,3,1
254,alvaro-obregon,1900000,64,3,1
255,alvaro-obregon,1900000,64,3,1
256,alvaro-obregon,11000000,170,3,2
257,alvaro-obregon,4600000,91,2,2
258,alvaro-obregon,2950000,62,2,2
259,alvaro-obregon,2950000,62,2,2
260,alvaro-obregon,2950000,62,2,2
261,tlahuac,48013,44,2,1
262,tlahuac,950000,45,2,1
263,tlahuac,1500000,50,2,1
264,tlahuac,1500000,50,2,1
265,tlahuac,21000000,199,3,3
266,tlahuac,875,53,2,1
267,tlahuac,490000,60,2,1
268,tlahuac,9000000,150,2,2
269,tlahuac,22000000,174,2,2
270,tlahuac,20000000,60,2,2
271,tlahuac,549921,76,2,1
272,tlahuac,1320000,219,3,1
273,tlahuac,4171166,93,3,2
274,tlahuac,5000000,43,3,2
275,tlahuac,750000,215,2,1
276,tlahuac,3620,96,3,2
277,tlahuac,7700000,53,3,2
278,tlahuac,800000,48,2,1
279,tlahuac,653578,50,2,1
280,tlahuac,657535,97,2,1
281,tlahuac,645047,45,3,1
282,tlahuac,1300000,60,2,1
283,tlahuac,588015,45,2,1
284,tlahuac,1250000,175,2,1
285,tlahuac,19180000,50,2,2
286,tlahuac,653784,49,2,1
287,tlahuac,850000,60,2,1
288,tlahuac,584900,120,2,1
289,tlahuac,2100000,60,2,1
290,tlalpan,2490000,60,2,2
291,tlalpan,1814000,71,2,1
292,tlalpan,1814000,71,2,1
293,tlalpan,1860000,47,2,1
294,tlalpan,1860000,47,2,1
295,tlalpan,2800000,86,2,1
296,tlalpan,1980000,66,2,1
297,tlalpan,6000000,258,3,2
298,tlalpan,21500000,240,3,3
299,tlalpan,8990000,300,2,3
300,tlalpan,9169716,187,3,2
301,tlalpan,8675000,200,2,2
302,tlalpan,26600000,501,5,5
303,tlalpan,4395000,153,3,2
304,tlalpan,31790000,339,2,2
305,tlalpan,7417823,187,3,1
306,tlalpan,1865000,63,2,3
307,tlalpan,22900000,425,3,3
308,tlalpan,3950000,115,3,1
309,tlalpan,2650000,75,2,1
310,tlalpan,2400000,76,2,2
311,tlalpan,2800000,100,2,2
312,tlalpan,5300000,147,2,2
313,tlalpan,10000000,180,3,1
314,tlalpan,3400000,80,2,3
315,tlalpan,4500000,10,4,2
316,tlalpan,3700000,119,3,2
317,tlalpan,2300000,77,2,3
318,tlalpan,5950000,148,2,4
319,xochimilco,2500000,115,3,2
320,xochimilco,2000000,87,3,1
321,xochimilco,2106500,80,2,1
322,xochimilco,3850000,140,3,2
323,xochimilco,3850000,140,3,2
324,xochimilco,4999000,180,3,3
325,xochimilco,9169716,187,3,2
326,xochimilco,12000000,450,3,3
327,xochimilco,2825000,114,2,2
328,xochimilco,3240000,95,3,2
329,xochimilco,1590000,75,2,1
330,xochimilco,1540000,63,2,1
331,xochimilco,1038000,103,3,1
332,xochimilco,2950000,196,3,2
333,xochimilco,4500000,99,3,3
334,xochimilco,1750000,150,4,1
335,xochimilco,4099000,70,2,3
336,xochimilco,1250000,60,2,2
337,xochimilco,927120,185,4,1
338,xochimilco,5400000,100,2,4
339,xochimilco,927659,372,2,1
340,xochimilco,10950000,53,2,3
341,xochimilco,2379000,70,3,1
342,xochimilco,973000,76,2,1
343,xochimilco,2149000,60,2,2
344,xochimilco,545394,217,3,1
345,xochimilco,7900000,152,4,2
346,xochimilco,4590000,151,2,3
347,xochimilco,5350000,194,3,2
348,benito-juarez,2850000,50,1,1
349,benito-juarez,3400000,63,2,2
350,benito-juarez,5620000,79,2,2
351,benito-juarez,9400000,226,3,4
352,benito-juarez,4237080,96,2,2
353,benito-juarez,3095000,60,2,2
354,benito-juarez,4530000,121,3,2
355,benito-juarez,3537000,83,2,2
356,benito-juarez,3225000,65,2,2
357,benito-juarez,3735240,86,3,2
358,benito-juarez,4064700,86,2,2
359,benito-juarez,4530000,121,3,2
360,benito-juarez,3674144,54,2,2
361,benito-juarez,3095000,60,2,2
362,benito-juarez,3730140,56,2,2
363,benito-juarez,3544279,61,2,2
364,benito-juarez,3100000,68,2,2
365,benito-juarez,5532700,87,2,1
366,benito-juarez,3961700,79,3,2
367,benito-juarez,4132352,60,1,1
368,benito-juarez,3649797,60,1,1
369,benito-juarez,4025000,80,2,2
370,benito-juarez,4076000,86,2,2
371,benito-juarez,3537000,83,2,2
372,benito-juarez,3441000,70,2,2
373,benito-juarez,3225000,65,2,2
374,benito-juarez,4025000,80,2,2
375,benito-juarez,3730740,56,2,2
376,benito-juarez,3100000,68,2,2
377,cuauhtemoc,4374395,72,2,2
378,cuauhtemoc,2835012,34,1,1
379,cuauhtemoc,3000000,65,2,2
380,cuauhtemoc,2350000,80,2,1
381,cuauhtemoc,3899000,90,2,2
382,cuauhtemoc,2423000,50,2,1
383,cuauhtemoc,3624917,61,2,1
384,cuauhtemoc,2125951,52,2,1
385,cuauhtemoc,6760568,89,2,2
386,cuauhtemoc,2350000,80,2,1
387,cuauhtemoc,2078000,52,2,1
388,cuauhtemoc,3000000,65,2,2
389,cuauhtemoc,2423000,55,2,1
390,cuauhtemoc,3257596,83,3,1
391,cuauhtemoc,6850483,77,2,2
392,cuauhtemoc,3017543,55,2,1
393,cuauhtemoc,3619544,74,3,2
394,cuauhtemoc,6917645,72,2,2
395,cuauhtemoc,2815000,71,3,2
396,cuauhtemoc,2379000,55,2,1
397,cuauhtemoc,6647892,89,2,2
398,cuauhtemoc,3899000,90,2,3
399,cuauhtemoc,2379000,55,2,1
400,cuauhtemoc,3876000,74,2,2
401,cuauhtemoc,3257596,83,3,1
402,cuauhtemoc,3876000,85,2,2
403,cuauhtemoc,5999999,120,2,2
404,cuauhtemoc,7500000,22,3,3
405,cuauhtemoc,1830000,42,1,1
406,miguel-hidalgo,3998500,62,2,2
407,miguel-hidalgo,2767704,47,1,1
408,miguel-hidalgo,4120000,103,2,2
409,miguel-hidalgo,5720000,143,3,2
410,miguel-hidalgo,14000000,182,2,2
411,miguel-hidalgo,6950000,105,2,2
412,miguel-hidalgo,2150000,67,3,1
413,miguel-hidalgo,1695000,51,1,1
414,miguel-hidalgo,2850000,59,2,2
415,miguel-hidalgo,14160000,82,1,1
416,miguel-hidalgo,2054790,51,2,1
417,miguel-hidalgo,1721000,48,2,1
418,miguel-hidalgo,1721000,48,2,1
419,miguel-hidalgo,1607690,39,1,1
420,miguel-hidalgo,2478600,58,2,1
421,miguel-hidalgo,2054790,51,2,1
422,miguel-hidalgo,2850000,59,2,2
423,miguel-hidalgo,2954000,72,2,2
424,miguel-hidalgo,3743000,82,2,2
425,miguel-hidalgo,3743000,82,2,2
426,miguel-hidalgo,2954000,72,2,2
427,miguel-hidalgo,7760000,61,2,2
428,miguel-hidalgo,8560000,82,2,2
429,miguel-hidalgo,2478600,58,2,1
430,miguel-hidalgo,1607690,39,1,1
431,miguel-hidalgo,1695000,51,1,1
432,miguel-hidalgo,3550000,60,1,1
433,miguel-hidalgo,12500,60,2,2
434,miguel-hidalgo,5000000,79,2,2
435,venustiano-carranza,1961520,53,2,1
436,venustiano-carranza,1720500,36,1,1
437,venustiano-carranza,2855895,55,2,1
438,venustiano-carranza,2472118,59,2,1
439,venustiano-carranza,2956266,56,2,2
440,venustiano-carranza,3409860,62,2,2
441,venustiano-carranza,2222900,52,2,1
442,venustiano-carranza,1555130,49,1,1
443,venustiano-carranza,2500000,108,3,2
444,venustiano-carranza,4950000,122,2,2
445,venustiano-carranza,1882410,49,2,1
446,venustiano-carranza,1521338,48,2,1
447,venustiano-carranza,2053185,54,2,2
448,venustiano-carranza,2063958,54,2,2
449,venustiano-carranza,1765368,53,2,1
450,venustiano-carranza,2900000,70,3,1
451,venustiano-carranza,2600000,74,2,2
452,venustiano-carranza,2500000,69,2,2
453,venustiano-carranza,1650000,60,2,1
454,venustiano-carranza,3800000,68,2,1
455,venustiano-carranza,2000000,70,2,2
456,venustiano-carranza,3800000,68,2,1
457,venustiano-carranza,1400000,46,2,1
458,venustiano-carranza,1950000,75,2,1
459,venustiano-carranza,1500000,48,2,1
460,venustiano-carranza,1295000,37,1,1
461,venustiano-carranza,2500000,56,3,2
462,venustiano-carranza,1453000,36,1,1
463,venustiano-carranza,1091000,65,2,1
