,FOLIO,VIV_SEL,HOGAR,N_REN,P2_3,SEXO,EDAD,NIV,GRA,TLOC,REGION,EST_DIS,UPM_DIS,FAC_HOG
0,1,1,1,2,3,2,60,4.0,4.0,1,3,3,1,1841
1,1,1,1,1,1,2,83,2.0,2.0,1,3,3,1,1841
2,2,2,1,1,1,2,33,3.0,3.0,1,3,3,1,1841
3,2,2,1,2,3,1,15,4.0,4.0,1,3,3,1,1841
4,2,2,1,3,3,2,13,4.0,4.0,1,3,3,1,1841
5,2,2,1,4,3,2,7,3.0,4.0,1,3,3,1,1841
6,3,3,1,2,2,2,55,3.0,5.0,1,3,3,1,1841
7,3,3,1,1,1,1,58,2.0,3.0,1,3,3,1,1841
8,3,3,1,3,3,1,27,3.0,4.0,1,3,3,1,1841
9,3,3,1,7,4,2,2,4.0,4.0,1,3,3,1,1841
10,3,3,1,6,4,1,4,3.0,4.0,1,3,3,1,1841
11,3,3,1,5,5,2,27,4.0,3.0,1,3,3,1,1841
12,3,3,1,4,3,1,30,3.0,4.0,1,3,3,1,1841
13,4,4,1,2,3,1,44,4.0,5.0,1,3,3,1,1841
14,4,4,1,1,1,2,64,2.0,6.0,1,3,3,1,1841
15,4,4,1,3,3,2,29,4.0,5.0,1,3,3,1,1841
16,4,4,1,4,4,1,3,3.0,5.0,1,3,3,1,1841
17,5,5,1,1,1,1,70,2.0,5.0,1,3,3,1,1841
18,5,5,1,8,4,1,21,3.0,4.0,1,3,3,1,1841
19,5,5,1,7,4,1,19,3.0,4.0,1,3,3,1,1841
20,5,5,1,6,4,2,26,4.0,4.0,1,3,3,1,1841
21,5,5,1,5,4,2,27,4.0,4.0,1,3,3,1,1841
22,5,5,1,4,4,2,28,3.0,4.0,1,3,3,1,1841
23,5,5,1,3,3,2,48,3.0,5.0,1,3,3,1,1841
24,5,5,1,2,2,2,71,3.0,5.0,1,3,3,1,1841
25,6,1,1,6,4,1,5,4.0,4.0,1,3,4,2,1273
26,6,1,1,2,2,2,70,4.0,5.0,1,3,4,2,1273
27,6,1,1,3,3,2,42,4.0,5.0,1,3,4,2,1273
28,6,1,1,4,4,2,20,4.0,4.0,1,3,4,2,1273
29,6,1,1,1,1,1,81,2.0,6.0,1,3,4,2,1273
30,6,1,1,5,4,2,10,4.0,4.0,1,3,4,2,1273
31,7,2,1,1,1,2,70,2.0,6.0,1,3,4,2,1273
32,8,4,1,2,2,2,28,6.0,3.0,1,3,4,2,1273
33,8,4,1,1,1,1,28,6.0,1.0,1,3,4,2,1273
34,9,5,1,1,1,1,45,8.0,5.0,1,3,4,2,1273
35,9,5,1,2,2,2,33,5.0,4.0,1,3,4,2,1273
36,10,1,1,2,2,2,61,5.0,4.0,1,3,4,3,733
37,10,1,1,1,1,1,64,3.0,3.0,1,3,4,3,733
38,10,1,1,3,3,2,27,6.0,4.0,1,3,4,3,733
39,10,1,1,4,3,1,29,5.0,4.0,1,3,4,3,733
40,11,2,1,2,3,2,40,5.0,4.0,1,3,4,3,733
41,11,2,1,1,1,1,77,8.0,3.0,1,3,4,3,733
42,11,2,1,3,4,2,15,4.0,5.0,1,3,4,3,733
43,11,2,1,4,3,2,13,4.0,5.0,1,3,4,3,733
44,12,3,1,1,1,1,36,8.0,5.0,1,3,4,3,733
45,12,3,1,2,2,2,33,5.0,4.0,1,3,4,3,733
46,12,3,1,3,3,2,11,4.0,5.0,1,3,4,3,733
47,12,3,1,4,3,1,3,4.0,5.0,1,3,4,3,733
48,13,4,1,1,1,2,80,8.0,4.0,1,3,4,3,733
49,13,4,1,2,5,2,74,5.0,5.0,1,3,4,3,733
50,14,5,1,1,1,2,76,2.0,4.0,1,3,4,3,733
51,14,5,1,2,5,2,65,5.0,5.0,1,3,4,3,733
52,14,5,1,3,5,2,62,5.0,5.0,1,3,4,3,733
53,15,1,1,2,2,2,56,4.0,4.0,1,3,4,4,1256
54,15,1,1,1,1,1,63,4.0,3.0,1,3,4,4,1256
55,15,1,1,3,3,2,24,5.0,4.0,1,3,4,4,1256
56,15,1,1,4,3,2,20,4.0,4.0,1,3,4,4,1256
57,15,1,1,5,4,1,0,4.0,4.0,1,3,4,4,1256
58,16,2,1,2,2,2,71,4.0,5.0,1,3,4,4,1256
59,16,2,1,1,1,1,67,3.0,3.0,1,3,4,4,1256
60,16,2,1,3,6,2,51,4.0,5.0,1,3,4,4,1256
61,17,3,1,1,1,1,68,2.0,6.0,1,3,4,4,1256
62,17,3,1,2,2,2,65,4.0,5.0,1,3,4,4,1256
63,17,3,1,3,3,1,35,5.0,5.0,1,3,4,4,1256
64,18,4,1,1,1,2,72,2.0,6.0,1,3,4,4,1256
65,18,4,1,2,3,1,26,5.0,3.0,1,3,4,4,1256
66,18,4,1,3,3,1,30,5.0,4.0,1,3,4,4,1256
67,19,1,1,1,1,2,37,8.0,5.0,1,3,4,5,1357
68,20,2,1,1,1,2,70,8.0,4.0,1,3,4,5,1357
69,20,2,1,2,3,2,32,5.0,4.0,1,3,4,5,1357
70,21,3,1,1,1,1,67,3.0,3.0,1,3,4,5,1357
71,21,3,1,2,2,2,67,4.0,5.0,1,3,4,5,1357
72,21,3,1,3,3,1,36,5.0,5.0,1,3,4,5,1357
73,22,4,1,1,1,1,52,9.0,3.0,1,3,4,5,1357
74,22,4,1,5,3,1,20,4.0,4.0,1,3,4,5,1357
75,23,5,1,1,1,2,49,8.0,4.0,1,3,4,5,1357
76,23,5,1,2,3,1,20,5.0,3.0,1,3,4,5,1357
77,23,5,1,3,3,1,12,4.0,5.0,1,3,4,5,1357
78,24,1,1,1,1,2,83,8.0,2.0,1,3,5,6,1377
79,24,1,2,1,1,2,49,2.0,6.0,1,3,5,6,1377
80,25,2,1,1,1,1,61,6.0,3.0,1,3,5,6,1377
81,25,2,1,2,2,2,57,6.0,5.0,1,3,5,6,1377
82,26,3,1,2,3,2,24,6.0,3.0,1,3,5,6,1377
