Fecha de reporte ,Sexo,Grupo de Edad,Nacionalidad,Fecha de desaparicion,Entidad de desaparicion,Municipio/Alcadia de la desaparicion,Estatus,Fecha de localizacion,Entidad de la localizacion
30/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,24/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),01/07/2023,CIUDAD DE MEXICO
30/06/2023,MUJER,40-44 AÑOS,EXTRANJERA,23/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
30/06/2023,MUJER,51-54 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
29/06/2023,MUJER,15-17 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),30/06/2023,CIUDAD DE MEXICO
29/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
28/06/2023,HOMBRE,65-69 AÑOS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),28/06/2023,CIUDAD DE MEXICO
29/06/2023,MUJER,10-14 AÑOS,MEXICANA,28/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),04/07/2023,CIUDAD DE MEXICO
28/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,26/05/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),10/07/2023,S/D
28/06/2023,MUJER,20-24 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),28/06/2023,CIUDAD DE MEXICO
27/06/2023,MUJER,18-19 AÑOS,MEXICANA,09/03/2012,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
27/06/2023,MUJER,20-24 AÑOS,MEXICANA,25/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
25/06/2023,MUJER,20-24 AÑOS,MEXICANA,11/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,DESAPARECIDO(A),,
24/06/2023,MUJER,15-17 AÑOS,MEXICANA,23/06/2023,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),26/06/2023,CIUDAD DE MEXICO
24/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,19/06/2023,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
24/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,22/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
23/06/2023,HOMBRE,65-69 AÑOS,MEXICANA,14/05/2023,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
23/06/2023,MUJER,15-17 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),05/07/2023,HIDALGO
23/06/2023,MUJER,15-17 AÑOS,MEXICANA,21/04/2023,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
23/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,21/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
22/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,10/05/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,DESAPARECIDO(A),,
22/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
21/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,18/06/2023,CIUDAD DE MEXICO,IZTACALCO,LOCALIZADO(A),23/06/2023,CIUDAD DE MEXICO
21/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,20/06/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
27/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,17/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),08/07/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,18/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,06/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
19/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,16/05/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),14/07/2023,CIUDAD DE MEXICO
19/06/2023,MUJER,25-29 AÑOS,MEXICANA,29/05/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),20/06/2023,ESTADO DE MEXICO
21/06/2023,MUJER,15-17 AÑOS,MEXICANA,20/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),25/06/2023,CIUDAD DE MEXICO
20/06/2023,HOMBRE,45-49 AÑOS,MEXICANA,15/03/2023,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
18/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,16/06/2023,CIUDAD DE MEXICO,BENITO JUAREZ,DESAPARECIDO(A),,
18/06/2023,HOMBRE,70 AÑOS O MAS,MEXICANA,17/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),19/06/2023,CIUDAD DE MEXICO
18/06/2023,HOMBRE,15-17 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
17/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/06/2023,CIUDAD DE MEXICO
17/06/2023,HOMBRE,40-44 AÑOS,MEXICANA,16/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),18/06/2023,ESTADO DE MEXICO
16/06/2023,HOMBRE,20-24 AÑOS,MEXICANA,13/06/2023,CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,LOCALIZADO(A),18/06/2023,S/D
16/06/2023,HOMBRE,55-59 AÑOS,MEXICANA,17/12/2022,CIUDAD DE MEXICO,IZTACALCO,DESAPARECIDO(A),,
16/06/2023,HOMBRE,35-39 AÑOS,MEXICANA,11/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
16/06/2023,MUJER,45-49 AÑOS,MEXICANA,14/06/2023,CIUDAD DE MEXICO,MIGUEL HIDALGO,LOCALIZADO(A),23/06/2023,CIUDAD DE MEXICO
16/06/2023,HOMBRE,45-49 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,DESAPARECIDO(A),,
16/06/2023,HOMBRE,51-54 AÑOS,MEXICANA,15/06/2023,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),17/06/2023,CIUDAD DE MEXICO
15/06/2023,HOMBRE,70 AÑOS O MAS,EXTRANJERA,13/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
15/06/2023,MUJER,18-19 AÑOS,MEXICANA,01/08/2012,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
15/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,13/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),17/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),16/06/2023,CIUDAD DE MEXICO
14/06/2023,MUJER,15-17 AÑOS,MEXICANA,09/06/2023,CIUDAD DE MEXICO,AZCAPOTZALCO,LOCALIZADO(A),18/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,10-14 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),14/06/2023,GUERRERO
14/06/2023,HOMBRE,18-19 AÑOS,MEXICANA,12/06/2023,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),14/06/2023,CIUDAD DE MEXICO
14/06/2023,HOMBRE,30-34 AÑOS,MEXICANA,10/06/2023,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),08/07/2023,CIUDAD DE MEXICO
14/06/2023,MUJER,15-17 AÑOS,MEXICANA,01/04/2022,CIUDAD DE MEXICO,ALVARO OBREGON,DESAPARECIDO(A),,
13/06/2023,HOMBRE,25-29 AÑOS,MEXICANA,07/06/2023,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),13/06/2023,CIUDAD DE MEXICO
13/06/2023,MUJER,10-14 AÑOS,MEXICANA,01/06/2023,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),27/06/2023,CIUDAD DE MEXICO
